HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer1
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",2UFQY2RCJK633R25MVRK4IAQQGO5UB,A1QWMX55LGBRFL,Approved,"Sun Feb 23 23:18:01 PST 2014","Sun Feb 23 23:18:45 PST 2014","cute, glorious dress, great look",
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",2118D8J3VE7WWOHP3G73WCK8RQ4YIB,AYFD78FXIRIZS,Approved,"Sun Feb 23 23:18:28 PST 2014","Sun Feb 23 23:18:45 PST 2014",pretty elegant summery,
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",2IEQU6L5OBVCMXFZ281ITF7GBYCFY1,A1J2EC0BUJFX0T,Approved,"Sun Feb 23 23:19:29 PST 2014","Sun Feb 23 23:19:43 PST 2014","fashionable, sleek, intricate",
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",21KQV66RLPHIXZ5X1EMKS62N0N5E6J,A6WRS278J1JFI,Approved,"Sun Feb 23 23:20:47 PST 2014","Sun Feb 23 23:21:03 PST 2014","summery, flirty, waifish",
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",2N52AC9KSSZV1TQS99LUUQOYXKL1JT,A3DNSVBQR9PQJE,Approved,"Sun Feb 23 23:23:12 PST 2014","Sun Feb 23 23:23:38 PST 2014","sexy, alluring, flashy",
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",2RJRLFQ0ONNVVDPMMS0EQRB7NKZSJ5,AEGJQFYNUXBBH,Rejected,"Sun Feb 23 23:35:13 PST 2014","Sun Feb 23 23:35:19 PST 2014",888,
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",29NXX2Q45UUKUKMISMN1XS8OXX5AS7,A3S3D4TI6N8873,Approved,"Sun Feb 23 23:47:35 PST 2014","Sun Feb 23 23:48:30 PST 2014","grainy, female, fashionable",
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",2USCOK2JE1M7TG8BQVN6YZACH1QUNS,A22YXL728L6SPD,Approved,"Sun Feb 23 23:53:19 PST 2014","Sun Feb 23 23:53:57 PST 2014",Beautiful Elegant Glamorous,
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",2GMXFCD45XCEXJ1USXBIX3TG614YWK,A1POAW2RQBTBXB,Approved,"Sun Feb 23 23:58:37 PST 2014","Sun Feb 23 23:59:04 PST 2014","tall 
thin
attractive",
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",22O6NG1FS3NYRFZ0K56Z2ZL2EO4LZ5,A1JAOEK2BBMN76,Approved,"Mon Feb 24 00:01:15 PST 2014","Mon Feb 24 00:01:36 PST 2014",beautiful elegant fancy ,
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",2Z46SK9RJ85O3ENGMQ1AZMOO72K5TN,A2FLZZ8Z4YEOPR,Approved,"Mon Feb 24 00:06:04 PST 2014","Mon Feb 24 00:06:28 PST 2014","Beautiful, lean, blond",
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,"Describe Image","Question",26R9RNDWIOV1W3GP8HKG413YUWEGVW,A3P9CLYWXZTZ76,Approved,"Mon Feb 24 00:08:47 PST 2014","Mon Feb 24 00:09:05 PST 2014",brunette slender fashionable,
